continent,country,city,timezone,flagEmoji,lat,lon
Africa,Algeria,Algiers,Africa/Algiers,🇩🇿,36.7833,3.05
Africa,Angola,West Africa Time,Africa/Lagos,🇦🇴,6.45,3.4
Africa,Benin,West Africa Time,Africa/Lagos,🇧🇯,6.45,3.4
Africa,Botswana,Central Africa Time,Africa/Maputo,🇧🇼,-25.9667,32.5833
Africa,Burkina Faso,Abidjan,Africa/Abidjan,🇧🇫,5.3167,-4.0333
Africa,Burundi,Central Africa Time,Africa/Maputo,🇧🇮,-25.9667,32.5833
Africa,Cameroon,West Africa Time,Africa/Lagos,🇨🇲,6.45,3.4
Africa,Central African Rep.,West Africa Time,Africa/Lagos,🇨🇫,6.45,3.4
Africa,Chad,Ndjamena,Africa/Ndjamena,🇹🇩,12.1167,15.05
Africa,Comoros,Nairobi,Africa/Nairobi,🇰🇲,-1.2833,36.8167
Africa,Congo (Dem. Rep.),Central Africa Time,Africa/Maputo,🇨🇩,-25.9667,32.5833
Africa,Congo (Dem. Rep.),West Africa Time,Africa/Lagos,🇨🇩,6.45,3.4
Africa,Congo (Rep.),West Africa Time,Africa/Lagos,🇨🇬,6.45,3.4
Africa,Côte d'Ivoire,Abidjan,Africa/Abidjan,🇨🇮,5.3167,-4.0333
Africa,Djibouti,Nairobi,Africa/Nairobi,🇩🇯,-1.2833,36.8167
Africa,Egypt,Cairo,Africa/Cairo,🇪🇬,30.05,31.25
Africa,Equatorial Guinea,West Africa Time,Africa/Lagos,🇬🇶,6.45,3.4
Africa,Eritrea,Nairobi,Africa/Nairobi,🇪🇷,-1.2833,36.8167
Africa,Eswatini (Swaziland),Johannesburg,Africa/Johannesburg,🇸🇿,-26.25,28.0
Africa,Ethiopia,Nairobi,Africa/Nairobi,🇪🇹,-1.2833,36.8167
Africa,Gabon,West Africa Time,Africa/Lagos,🇬🇦,6.45,3.4
Africa,Gambia,Abidjan,Africa/Abidjan,🇬🇲,5.3167,-4.0333
Africa,Ghana,Abidjan,Africa/Abidjan,🇬🇭,5.3167,-4.0333
Africa,Guinea,Abidjan,Africa/Abidjan,🇬🇳,5.3167,-4.0333
Africa,Guinea-Bissau,Bissau,Africa/Bissau,🇬🇼,11.85,-15.5833
Africa,Iceland,Abidjan,Africa/Abidjan,🇮🇸,5.3167,-4.0333
Africa,Kenya,Nairobi,Africa/Nairobi,🇰🇪,-1.2833,36.8167
Africa,Lesotho,Johannesburg,Africa/Johannesburg,🇱🇸,-26.25,28.0
Africa,Liberia,Monrovia,Africa/Monrovia,🇱🇷,6.3,-10.7833
Africa,Libya,Tripoli,Africa/Tripoli,🇱🇾,32.9,13.1833
Africa,Madagascar,Nairobi,Africa/Nairobi,🇲🇬,-1.2833,36.8167
Africa,Malawi,Central Africa Time,Africa/Maputo,🇲🇼,-25.9667,32.5833
Africa,Mali,Abidjan,Africa/Abidjan,🇲🇱,5.3167,-4.0333
Africa,Mauritania,Abidjan,Africa/Abidjan,🇲🇷,5.3167,-4.0333
Africa,Mayotte,Nairobi,Africa/Nairobi,🇾🇹,-1.2833,36.8167
Africa,Morocco,Casablanca,Africa/Casablanca,🇲🇦,33.65,-7.5833
Africa,Mozambique,Central Africa Time,Africa/Maputo,🇲🇿,-25.9667,32.5833
Africa,Namibia,Windhoek,Africa/Windhoek,🇳🇦,-22.5667,17.1
Africa,Niger,West Africa Time,Africa/Lagos,🇳🇪,6.45,3.4
Africa,Nigeria,West Africa Time,Africa/Lagos,🇳🇬,6.45,3.4
Africa,Rwanda,Central Africa Time,Africa/Maputo,🇷🇼,-25.9667,32.5833
Africa,Sao Tome & Principe,Sao Tome,Africa/Sao_Tome,🇸🇹,0.3333,6.7333
Africa,Senegal,Abidjan,Africa/Abidjan,🇸🇳,5.3167,-4.0333
Africa,Sierra Leone,Abidjan,Africa/Abidjan,🇸🇱,5.3167,-4.0333
Africa,Somalia,Nairobi,Africa/Nairobi,🇸🇴,-1.2833,36.8167
Africa,South Africa,Johannesburg,Africa/Johannesburg,🇿🇦,-26.25,28.0
Africa,South Sudan,Juba,Africa/Juba,🇸🇸,4.85,31.6167
Africa,Spain,"Ceuta, Melilla",Africa/Ceuta,🇪🇸,35.8833,-5.3167
Africa,St Helena,Abidjan,Africa/Abidjan,🇸🇭,5.3167,-4.0333
Africa,Sudan,Khartoum,Africa/Khartoum,🇸🇩,15.6,32.5333
Africa,Tanzania,Nairobi,Africa/Nairobi,🇹🇿,-1.2833,36.8167
